|Total of nodes|100|Time to run|253|Num. of partitions|2|Cut weight|90|GCC Medium|0,10|LCC Medium|0,113,10,14,19,23,26,43,44,45,(9)0,1,2,4,5,6,7,8,9,11,12,13,15,16,17,18,20,21,22,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(91)
|Total of nodes|100|Time to run|111|Num. of partitions|2|Cut weight|79|GCC Medium|0,10|LCC Medium|0,102,3,4,12,14,20,33,39,49,(9)0,1,5,6,7,8,9,10,11,13,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(91)
|Total of nodes|100|Time to run|111|Num. of partitions|1|Cut weight|0|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(100)
|Total of nodes|100|Time to run|93|Num. of partitions|1|Cut weight|0|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(100)
|Total of nodes|100|Time to run|92|Num. of partitions|2|Cut weight|74|GCC Medium|0,10|LCC Medium|0,109,17,28,29,30,33,37,49,(8)0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,31,32,34,35,36,38,39,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(92)
|Total of nodes|100|Time to run|94|Num. of partitions|1|Cut weight|0|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(100)
|Total of nodes|100|Time to run|92|Num. of partitions|2|Cut weight|78|GCC Medium|0,10|LCC Medium|0,103,7,10,12,26,32,35,40,49,(9)0,1,2,4,5,6,8,9,11,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,33,34,36,37,38,39,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(91)
|Total of nodes|100|Time to run|88|Num. of partitions|1|Cut weight|0|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(100)
|Total of nodes|100|Time to run|88|Num. of partitions|1|Cut weight|0|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(100)
|Total of nodes|100|Time to run|89|Num. of partitions|2|Cut weight|68|GCC Medium|0,09|LCC Medium|0,100,11,13,14,26,39,47,(7)1,2,3,4,5,6,7,8,9,10,12,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(93)
