|Total of nodes|100|Time to run|1518|Num. of partitions|2|Cut weight|253|GCC Medium|0,18|LCC Medium|0,243,4,6,8,11,15,16,17,21,23,26,27,29,30,35,40,42,43,45,46,47,48,51,54,55,57,58,60,62,63,64,74,77,79,80,81,83,84,88,90,91,93,94,95,96,98,(46)0,1,2,5,7,9,10,12,13,14,18,19,20,22,24,25,28,31,32,33,34,36,37,38,39,41,44,49,50,52,53,56,59,61,65,66,67,68,69,70,71,72,73,75,76,78,82,85,86,87,89,92,97,99,(54)
|Total of nodes|100|Time to run|669|Num. of partitions|2|Cut weight|249|GCC Medium|0,17|LCC Medium|0,253,4,6,7,8,9,10,13,16,23,24,25,26,29,30,35,39,40,42,43,45,47,48,49,52,53,56,57,59,66,70,71,72,73,75,77,79,81,83,85,87,91,92,95,96,99,(46)0,1,2,5,11,12,14,15,17,18,19,20,21,22,27,28,31,32,33,34,36,37,38,41,44,46,50,51,54,55,58,60,61,62,63,64,65,67,68,69,74,76,78,80,82,84,86,88,89,90,93,94,97,98,(54)
|Total of nodes|100|Time to run|662|Num. of partitions|2|Cut weight|236|GCC Medium|0,20|LCC Medium|0,320,3,4,5,6,9,10,11,14,15,16,18,22,24,28,33,34,39,40,41,42,43,44,47,48,49,51,52,59,60,61,62,64,65,68,71,73,74,76,81,82,84,85,86,87,88,89,90,93,95,96,98,99,(53)1,2,7,8,12,13,17,19,20,21,23,25,26,27,29,30,31,32,35,36,37,38,45,46,50,53,54,55,56,57,58,63,66,67,69,70,72,75,77,78,79,80,83,91,92,94,97,(47)
|Total of nodes|100|Time to run|525|Num. of partitions|2|Cut weight|247|GCC Medium|0,16|LCC Medium|0,240,6,7,9,11,15,16,17,21,23,24,27,29,30,31,33,34,36,39,40,42,47,49,53,54,55,56,58,59,61,62,63,65,68,70,71,72,73,75,77,79,80,81,82,83,84,87,88,89,91,93,94,95,99,(54)1,2,3,4,5,8,10,12,13,14,18,19,20,22,25,26,28,32,35,37,38,41,43,44,45,46,48,50,51,52,57,60,64,66,67,69,74,76,78,85,86,90,92,96,97,98,(46)
|Total of nodes|100|Time to run|523|Num. of partitions|2|Cut weight|234|GCC Medium|0,18|LCC Medium|0,300,1,3,5,7,8,11,13,15,21,24,26,27,29,30,32,33,35,36,37,38,39,41,42,43,44,50,51,52,54,55,57,58,59,62,64,66,68,70,71,72,76,77,78,88,92,93,94,97,99,(50)2,4,6,9,10,12,14,16,17,18,19,20,22,23,25,28,31,34,40,45,46,47,48,49,53,56,60,61,63,65,67,69,73,74,75,79,80,81,82,83,84,85,86,87,89,90,91,95,96,98,(50)
|Total of nodes|100|Time to run|561|Num. of partitions|2|Cut weight|229|GCC Medium|0,19|LCC Medium|0,255,6,8,12,13,14,16,17,22,24,27,28,32,33,38,41,42,43,44,49,52,58,59,61,62,64,65,68,69,70,73,76,79,82,83,84,85,90,91,93,95,96,99,(43)0,1,2,3,4,7,9,10,11,15,18,19,20,21,23,25,26,29,30,31,34,35,36,37,39,40,45,46,47,48,50,51,53,54,55,56,57,60,63,66,67,71,72,74,75,77,78,80,81,86,87,88,89,92,94,97,98,(57)
|Total of nodes|100|Time to run|423|Num. of partitions|2|Cut weight|249|GCC Medium|0,20|LCC Medium|0,293,5,6,10,11,13,15,16,17,19,20,22,24,30,32,33,34,36,37,39,40,42,45,48,50,52,54,55,56,59,60,62,66,70,73,74,75,77,78,79,80,81,82,83,85,86,88,90,92,(49)0,1,2,4,7,8,9,12,14,18,21,23,25,26,27,28,29,31,35,38,41,43,44,46,47,49,51,53,57,58,61,63,64,65,67,68,69,71,72,76,84,87,89,91,93,94,95,96,97,98,99,(51)
|Total of nodes|100|Time to run|472|Num. of partitions|2|Cut weight|238|GCC Medium|0,17|LCC Medium|0,280,2,6,9,13,15,16,17,22,24,26,28,30,32,33,34,40,42,46,47,48,51,52,53,54,56,58,60,61,62,63,66,67,68,70,72,74,75,77,78,79,80,86,87,89,90,91,92,95,97,98,(51)1,3,4,5,7,8,10,11,12,14,18,19,20,21,23,25,27,29,31,35,36,37,38,39,41,43,44,45,49,50,55,57,59,64,65,69,71,73,76,81,82,83,84,85,88,93,94,96,99,(49)
|Total of nodes|100|Time to run|401|Num. of partitions|2|Cut weight|253|GCC Medium|0,18|LCC Medium|0,261,2,5,6,7,10,12,13,14,15,17,18,19,23,26,34,36,44,46,47,50,52,53,54,57,62,65,66,67,69,70,72,76,77,80,81,82,87,90,91,92,93,95,96,97,99,(46)0,3,4,8,9,11,16,20,21,22,24,25,27,28,29,30,31,32,33,35,37,38,39,40,41,42,43,45,48,49,51,55,56,58,59,60,61,63,64,68,71,73,74,75,78,79,83,84,85,86,88,89,94,98,(54)
|Total of nodes|100|Time to run|346|Num. of partitions|2|Cut weight|260|GCC Medium|0,16|LCC Medium|0,210,1,3,9,11,13,14,15,17,25,28,30,31,32,36,37,44,45,46,47,48,49,50,52,53,55,56,59,63,65,66,68,72,73,74,75,76,77,79,84,85,86,88,90,91,92,94,95,98,99,(50)2,4,5,6,7,8,10,12,16,18,19,20,21,22,23,24,26,27,29,33,34,35,38,39,40,41,42,43,51,54,57,58,60,61,62,64,67,69,70,71,78,80,81,82,83,87,89,93,96,97,(50)
