|Total of nodes|100|Time to run|5611|Num. of partitions|2|Cut weight|92|GCC Medium|0,19|LCC Medium|0,192,5,6,7,10,11,13,15,16,27,28,31,38,40,41,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(65)0,1,3,4,8,9,12,14,17,18,19,20,21,22,23,24,25,26,29,30,32,33,34,35,36,37,39,42,43,44,45,46,47,48,49,(35)
|Total of nodes|100|Time to run|4692|Num. of partitions|2|Cut weight|110|GCC Medium|0,20|LCC Medium|0,230,4,5,7,8,9,11,20,21,22,23,27,28,32,38,39,42,43,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(71)1,2,3,6,10,12,13,14,15,16,17,18,19,24,25,26,29,30,31,33,34,35,36,37,40,41,44,45,47,(29)
|Total of nodes|100|Time to run|4726|Num. of partitions|2|Cut weight|124|GCC Medium|0,13|LCC Medium|0,220,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,57,60,62,63,64,71,73,74,75,76,77,78,81,83,84,86,87,88,90,92,93,95,97,98,(78)54,55,56,58,59,61,65,66,67,68,69,70,72,79,80,82,85,89,91,94,96,99,(22)
|Total of nodes|100|Time to run|4575|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|4384|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|4776|Num. of partitions|2|Cut weight|101|GCC Medium|0,25|LCC Medium|0,350,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,53,54,59,60,62,63,64,68,69,72,73,74,75,76,77,78,79,80,81,82,83,84,85,89,91,93,94,95,96,97,99,(82)50,52,55,56,57,58,61,65,66,67,70,71,86,87,88,90,92,98,(18)
|Total of nodes|100|Time to run|4368|Num. of partitions|2|Cut weight|118|GCC Medium|0,20|LCC Medium|0,260,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53,57,59,60,61,63,67,68,69,72,75,78,81,84,88,89,90,91,92,97,98,(72)51,52,54,55,56,58,62,64,65,66,70,71,73,74,76,77,79,80,82,83,85,86,87,93,94,95,96,99,(28)
|Total of nodes|100|Time to run|4417|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|4365|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,2150,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)
|Total of nodes|100|Time to run|4297|Num. of partitions|2|Cut weight|101|GCC Medium|0,21|LCC Medium|0,270,1,3,4,7,8,11,12,14,18,21,22,23,27,28,29,30,41,42,43,44,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(74)2,5,6,9,10,13,15,16,17,19,20,24,25,26,31,32,33,34,35,36,37,38,39,40,45,47,(26)
