|Total of nodes|100|Time to run|4440|Num. of partitions|2|Cut weight|37|GCC Medium|0,19|LCC Medium|0,200,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,78,92,97,98,(54)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,86,87,88,89,90,91,93,94,95,96,99,(46)
|Total of nodes|100|Time to run|4338|Num. of partitions|2|Cut weight|110|GCC Medium|0,20|LCC Medium|0,261,3,5,7,9,11,14,17,18,19,20,25,27,28,29,32,34,38,39,42,44,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(74)0,2,4,6,8,10,12,13,15,16,21,22,23,24,26,30,31,33,35,36,37,40,41,43,45,46,(26)
|Total of nodes|100|Time to run|4222|Num. of partitions|2|Cut weight|46|GCC Medium|0,19|LCC Medium|0,220,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,59,69,78,81,84,97,(56)50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,79,80,82,83,85,86,87,88,89,90,91,92,93,94,95,96,98,99,(44)
|Total of nodes|100|Time to run|4768|Num. of partitions|2|Cut weight|60|GCC Medium|0,23|LCC Medium|0,340,1,2,3,4,5,7,8,9,11,12,13,14,17,18,19,20,21,22,23,25,26,27,28,29,30,31,33,34,35,37,38,40,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(90)6,10,15,16,24,32,36,39,41,46,(10)
|Total of nodes|100|Time to run|4199|Num. of partitions|2|Cut weight|45|GCC Medium|0,20|LCC Medium|0,2051,52,54,55,56,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,98,99,(44)0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53,57,63,78,97,(56)
|Total of nodes|100|Time to run|4362|Num. of partitions|2|Cut weight|66|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,64,78,80,93,94,95,97,(58)50,52,53,54,55,56,57,58,59,60,61,62,63,65,66,67,68,69,70,71,72,73,74,75,76,77,79,81,82,83,84,85,86,87,88,89,90,91,92,96,98,99,(42)
|Total of nodes|100|Time to run|4313|Num. of partitions|2|Cut weight|34|GCC Medium|0,19|LCC Medium|0,220,7,8,11,42,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(55)1,2,3,4,5,6,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,(45)
|Total of nodes|100|Time to run|4471|Num. of partitions|2|Cut weight|40|GCC Medium|0,19|LCC Medium|0,200,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,78,88,90,97,(54)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,86,87,89,91,92,93,94,95,96,98,99,(46)
|Total of nodes|100|Time to run|4356|Num. of partitions|2|Cut weight|109|GCC Medium|0,21|LCC Medium|0,230,2,5,6,7,8,9,10,11,13,15,16,17,19,20,22,23,26,31,32,33,37,38,39,40,42,43,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(79)1,3,4,12,14,18,21,24,25,27,28,29,30,34,35,36,41,44,45,46,47,(21)
|Total of nodes|100|Time to run|4760|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
