|Total of nodes|100|Time to run|28628|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|30017|Num. of partitions|2|Cut weight|114|GCC Medium|0,19|LCC Medium|0,250,1,5,7,8,11,13,14,18,20,22,23,29,30,31,32,35,38,39,40,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(71)2,3,4,6,9,10,12,15,16,17,19,21,24,25,26,27,28,33,34,36,37,41,42,43,44,45,46,47,48,(29)
|Total of nodes|100|Time to run|28448|Num. of partitions|2|Cut weight|54|GCC Medium|0,09|LCC Medium|0,100,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,60,62,63,64,65,66,67,69,70,71,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,(93)59,61,68,72,96,98,99,(7)
|Total of nodes|100|Time to run|28193|Num. of partitions|2|Cut weight|88|GCC Medium|0,20|LCC Medium|0,230,1,2,3,4,5,6,7,8,10,11,12,14,18,19,20,21,22,23,25,30,32,34,36,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(85)9,13,15,16,17,24,26,27,28,29,31,33,35,37,40,(15)
|Total of nodes|100|Time to run|28454|Num. of partitions|2|Cut weight|115|GCC Medium|0,20|LCC Medium|0,330,1,3,5,7,9,11,16,18,20,22,23,25,26,27,28,29,30,33,34,35,38,40,41,46,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(76)2,4,6,8,10,12,13,14,15,17,19,21,24,31,32,36,37,39,42,43,44,45,47,48,(24)
|Total of nodes|100|Time to run|29103|Num. of partitions|2|Cut weight|64|GCC Medium|0,10|LCC Medium|0,110,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,58,59,60,61,63,64,65,67,68,69,70,71,72,74,75,77,78,79,80,81,82,83,84,85,86,87,88,90,91,92,93,94,96,97,98,99,(92)56,57,62,66,73,76,89,95,(8)
|Total of nodes|100|Time to run|28006|Num. of partitions|2|Cut weight|63|GCC Medium|0,09|LCC Medium|0,110,1,2,3,4,5,6,7,11,12,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(92)8,9,10,13,14,26,31,47,(8)
|Total of nodes|100|Time to run|28061|Num. of partitions|2|Cut weight|109|GCC Medium|0,19|LCC Medium|0,240,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,54,57,58,61,63,69,70,71,74,75,76,77,82,83,84,91,92,94,97,98,99,(73)51,53,55,56,59,60,62,64,65,66,67,68,72,73,78,79,80,81,85,86,87,88,89,90,93,95,96,(27)
|Total of nodes|100|Time to run|29414|Num. of partitions|2|Cut weight|95|GCC Medium|0,20|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,54,55,56,57,58,59,61,66,69,70,71,73,74,75,76,77,79,82,83,84,87,88,89,90,91,92,93,96,97,98,(82)51,53,60,62,63,64,65,67,68,72,78,80,81,85,86,94,95,99,(18)
|Total of nodes|100|Time to run|35981|Num. of partitions|2|Cut weight|104|GCC Medium|0,19|LCC Medium|0,270,2,5,7,11,13,16,18,20,23,27,28,31,33,38,42,43,44,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(68)1,3,4,6,8,9,10,12,14,15,17,19,21,22,24,25,26,29,30,32,34,35,36,37,39,40,41,45,46,47,48,49,(32)
