|Total of nodes|100|Time to run|162|Num. of partitions|4|Cut weight|329|GCC Medium|0,28|LCC Medium|0,131,11,35,49,55,59,69,75,81,(9)2,4,6,8,10,13,14,16,17,21,22,24,30,31,33,34,36,37,45,48,50,57,61,62,63,65,66,68,74,82,88,89,90,92,95,97,98,99,(38)0,3,5,9,12,15,18,19,20,23,25,26,39,40,41,42,43,44,46,47,52,53,54,56,58,60,64,71,72,73,77,78,79,80,83,84,85,86,91,93,(40)7,27,28,29,32,38,51,67,70,76,87,94,96,(13)
|Total of nodes|100|Time to run|119|Num. of partitions|3|Cut weight|299|GCC Medium|0,24|LCC Medium|0,241,5,8,9,11,12,15,27,41,44,47,49,55,59,64,66,69,74,75,79,81,82,88,92,95,(25)0,2,3,4,10,13,14,16,17,19,20,22,24,30,31,33,34,35,37,38,39,45,46,48,50,51,52,56,57,58,60,61,65,67,68,71,72,77,80,83,84,85,89,90,91,93,96,99,(48)6,7,18,21,23,25,26,28,29,32,36,40,42,43,53,54,62,63,70,73,76,78,86,87,94,97,98,(27)
|Total of nodes|100|Time to run|98|Num. of partitions|4|Cut weight|354|GCC Medium|0,23|LCC Medium|0,201,8,11,23,26,28,32,36,44,49,53,55,59,69,71,74,75,79,81,82,87,92,95,(23)0,2,6,10,12,13,14,16,17,19,25,29,30,33,35,39,40,45,48,50,51,58,60,65,67,68,72,76,77,80,84,85,89,93,94,96,99,(37)3,7,9,15,20,22,24,27,31,37,38,41,42,43,46,47,52,54,56,57,64,66,73,78,83,86,91,97,(28)4,5,18,21,34,61,62,63,70,88,90,98,(12)
|Total of nodes|100|Time to run|89|Num. of partitions|7|Cut weight|344|GCC Medium|0,12|LCC Medium|0,050,6,13,14,15,17,19,21,22,29,30,32,33,35,36,38,40,41,43,45,47,51,52,53,54,55,56,60,62,63,67,71,76,78,83,84,86,88,89,90,95,97,99,(43)1,10,11,26,28,49,59,64,69,75,80,81,92,(13)2,3,27,31,37,48,57,91,(8)4,34,50,61,65,66,68,70,74,98,(10)5,12,18,20,23,25,39,42,44,46,58,72,73,77,79,85,93,96,(18)7,94,(2)8,9,16,24,82,87,(6)
|Total of nodes|100|Time to run|86|Num. of partitions|6|Cut weight|374|GCC Medium|0,07|LCC Medium|0,070,35,38,41,53,55,56,79,83,85,86,89,(12)2,3,10,12,13,14,16,17,19,30,33,34,39,45,48,49,50,51,52,57,58,67,68,71,77,80,81,84,96,99,(30)4,5,15,18,20,21,22,24,28,31,42,44,46,47,54,61,62,63,65,66,70,72,73,74,75,82,88,90,92,93,95,97,98,(33)6,32,40,43,60,64,69,87,91,(9)7,23,25,26,27,29,36,76,94,(9)1,8,9,11,37,59,78,(7)
|Total of nodes|100|Time to run|67|Num. of partitions|4|Cut weight|344|GCC Medium|0,16|LCC Medium|0,092,4,5,7,10,13,14,17,18,20,21,22,25,28,30,31,34,42,45,47,48,55,57,58,61,62,65,66,67,70,73,76,77,85,88,89,90,94,95,96,98,(41)0,6,40,43,49,60,64,69,83,91,93,(11)1,8,11,15,23,27,29,32,37,59,71,78,86,97,(14)3,9,12,16,19,24,26,33,35,36,38,39,41,44,46,50,51,52,53,54,56,63,68,72,74,75,79,80,81,82,84,87,92,99,(34)
|Total of nodes|100|Time to run|65|Num. of partitions|5|Cut weight|395|GCC Medium|0,20|LCC Medium|0,170,5,6,17,21,22,32,35,40,55,59,60,69,77,83,89,90,95,99,(19)2,4,13,14,19,30,33,34,37,45,48,50,58,61,68,74,84,85,93,96,(20)3,10,11,15,20,27,31,41,43,47,51,52,54,57,62,64,65,73,78,80,86,91,97,(23)1,7,18,23,25,26,28,29,36,42,49,67,70,75,76,94,(16)8,9,12,16,24,38,39,44,46,53,56,63,66,71,72,79,81,82,87,88,92,98,(22)
|Total of nodes|100|Time to run|65|Num. of partitions|5|Cut weight|338|GCC Medium|0,16|LCC Medium|0,060,4,5,13,14,17,18,19,21,22,25,29,30,32,33,35,36,38,40,41,42,44,47,53,54,55,56,58,60,62,66,67,71,76,77,83,84,85,88,89,90,95,96,99,(44)1,12,28,49,59,69,75,81,(8)2,3,7,10,11,15,20,26,27,31,37,43,48,50,51,52,57,64,65,70,73,78,79,80,86,91,93,94,97,(29)6,8,45,61,(4)9,16,23,24,34,39,46,63,68,72,74,82,87,92,98,(15)
|Total of nodes|100|Time to run|66|Num. of partitions|3|Cut weight|286|GCC Medium|0,28|LCC Medium|0,190,2,4,7,10,11,13,17,18,20,21,23,25,26,27,28,29,30,32,34,36,40,42,43,47,48,50,51,52,54,58,59,62,64,65,67,70,73,75,76,83,84,86,93,94,96,97,(47)6,8,15,22,37,41,45,57,69,78,85,89,90,(13)1,3,5,9,12,14,16,19,24,31,33,35,38,39,44,46,49,53,55,56,60,61,63,66,68,71,72,74,77,79,80,81,82,87,88,91,92,95,98,99,(40)
|Total of nodes|100|Time to run|65|Num. of partitions|4|Cut weight|341|GCC Medium|0,22|LCC Medium|0,110,6,17,19,32,35,41,55,69,89,99,(11)2,4,7,10,13,21,28,31,33,34,48,50,61,62,65,66,70,74,76,90,95,97,98,(23)5,11,12,14,15,18,20,22,23,25,26,29,30,36,37,39,40,42,43,44,45,46,47,52,53,54,57,58,59,60,64,71,72,73,77,79,80,83,85,86,88,91,93,94,96,(45)1,3,8,9,16,24,27,38,49,51,56,63,67,68,75,78,81,82,84,87,92,(21)
