|Total of nodes|100|Time to run|8581|Num. of partitions|2|Cut weight|84|GCC Medium|0,19|LCC Medium|0,300,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,58,60,61,63,65,66,69,70,73,74,75,77,78,79,80,81,82,84,85,88,89,90,91,92,93,94,96,97,98,99,(87)57,59,62,64,67,68,71,72,76,83,86,87,95,(13)
|Total of nodes|100|Time to run|4628|Num. of partitions|2|Cut weight|109|GCC Medium|0,21|LCC Medium|0,260,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,55,56,62,65,68,70,71,72,82,83,86,88,91,92,93,95,96,97,98,(70)50,51,52,53,57,58,59,60,61,63,64,66,67,69,73,74,75,76,77,78,79,80,81,84,85,87,89,90,94,99,(30)
|Total of nodes|100|Time to run|4707|Num. of partitions|2|Cut weight|117|GCC Medium|0,17|LCC Medium|0,220,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53,55,56,58,59,63,65,67,70,71,72,73,75,76,78,79,81,83,85,88,90,91,94,97,(75)51,52,54,57,60,61,62,64,66,68,69,74,77,80,82,84,86,87,89,92,93,95,96,98,99,(25)
|Total of nodes|100|Time to run|6550|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|4918|Num. of partitions|2|Cut weight|99|GCC Medium|0,26|LCC Medium|0,290,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,58,59,60,61,62,63,67,68,70,72,74,76,78,79,82,84,85,88,89,90,91,92,95,96,97,98,99,(81)50,55,56,57,64,65,66,69,71,73,75,77,80,81,83,86,87,93,94,(19)
|Total of nodes|100|Time to run|4604|Num. of partitions|2|Cut weight|70|GCC Medium|0,18|LCC Medium|0,190,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,73,78,83,91,92,96,97,(59)51,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,79,80,81,82,84,85,86,87,88,89,90,93,94,95,98,99,(41)
|Total of nodes|100|Time to run|4447|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|5091|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|4455|Num. of partitions|2|Cut weight|1|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,(50)50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(50)
|Total of nodes|100|Time to run|4696|Num. of partitions|2|Cut weight|67|GCC Medium|0,19|LCC Medium|0,200,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,54,58,77,82,84,96,97,98,(59)51,52,53,55,56,57,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,83,85,86,87,88,89,90,91,92,93,94,95,99,(41)
