|Total of nodes|100|Time to run|92|Num. of partitions|5|Cut weight|310|GCC Medium|0,08|LCC Medium|0,091,49,55,(3)3,10,19,47,80,89,(6)0,2,4,5,14,15,21,22,24,31,34,45,48,54,56,58,59,61,63,65,66,70,72,74,79,83,85,88,90,92,93,95,99,(33)7,11,12,13,16,17,18,20,23,25,26,27,28,29,30,32,33,35,36,38,39,40,41,42,43,46,50,51,52,53,60,62,64,67,68,71,73,75,76,77,82,84,86,87,91,94,96,97,98,(49)6,8,9,37,44,57,69,78,81,(9)
|Total of nodes|100|Time to run|62|Num. of partitions|7|Cut weight|336|GCC Medium|0,03|LCC Medium|0,030,19,21,22,32,33,41,47,53,54,55,63,79,88,89,90,95,99,(18)2,3,10,31,57,80,91,(7)5,39,72,85,(4)6,14,45,48,60,61,64,65,93,(9)4,7,11,12,13,16,17,18,20,23,24,25,26,27,28,29,30,35,36,38,40,42,43,49,50,51,52,56,58,59,62,67,68,70,71,73,74,75,76,77,82,83,84,86,87,94,96,97,98,(49)1,8,15,34,37,44,66,69,78,81,92,(11)9,46,(2)
|Total of nodes|100|Time to run|63|Num. of partitions|2|Cut weight|245|GCC Medium|0,16|LCC Medium|0,230,2,3,7,10,13,15,17,19,20,21,26,27,28,30,31,32,37,41,43,47,48,50,52,54,57,60,62,64,65,69,70,71,73,76,80,83,86,89,91,93,96,97,(43)1,4,5,6,8,9,11,12,14,16,18,22,23,24,25,29,33,34,35,36,38,39,40,42,44,45,46,49,51,53,55,56,58,59,61,63,66,67,68,72,74,75,77,78,79,81,82,84,85,87,88,90,92,94,95,98,99,(57)
|Total of nodes|100|Time to run|62|Num. of partitions|5|Cut weight|313|GCC Medium|0,13|LCC Medium|0,050,5,15,19,22,33,41,47,53,54,55,63,79,85,88,89,90,99,(18)2,4,10,14,21,31,34,44,66,92,95,(11)6,8,39,45,48,60,61,64,65,69,78,80,91,93,(14)1,3,7,11,12,13,16,17,18,20,23,24,25,26,27,28,29,30,32,35,36,37,38,40,42,43,49,50,51,52,56,57,58,59,62,67,68,70,71,73,74,75,76,77,81,82,83,84,86,87,94,96,97,98,(54)9,46,72,(3)
|Total of nodes|100|Time to run|63|Num. of partitions|3|Cut weight|238|GCC Medium|0,24|LCC Medium|0,170,6,9,13,22,35,41,46,53,54,55,57,61,66,69,78,79,80,83,85,88,89,90,95,99,(25)2,3,10,14,19,31,39,45,48,58,72,(11)1,4,5,7,8,11,12,15,16,17,18,20,21,23,24,25,26,27,28,29,30,32,33,34,36,37,38,40,42,43,44,47,49,50,51,52,56,59,60,62,63,64,65,67,68,70,71,73,74,75,76,77,81,82,84,86,87,91,92,93,94,96,97,98,(64)
|Total of nodes|100|Time to run|64|Num. of partitions|3|Cut weight|259|GCC Medium|0,11|LCC Medium|0,111,2,4,5,7,10,14,15,17,18,20,21,22,24,25,26,28,29,30,31,33,34,35,36,37,38,40,42,44,45,47,52,54,55,56,57,58,59,61,63,66,67,70,71,73,74,75,76,77,79,83,86,88,89,90,92,94,95,96,97,98,99,(62)0,6,8,12,13,19,23,32,39,41,43,48,49,50,51,60,62,64,65,69,72,78,80,84,85,87,91,93,(28)3,9,11,16,27,46,53,68,81,82,(10)
|Total of nodes|100|Time to run|64|Num. of partitions|3|Cut weight|262|GCC Medium|0,15|LCC Medium|0,150,5,6,9,11,13,17,19,22,23,24,26,27,29,30,32,33,35,36,38,39,40,41,42,43,44,46,47,49,52,53,54,55,56,57,60,62,63,64,67,69,72,76,77,78,79,80,81,82,83,84,85,86,87,89,97,99,(57)2,3,10,16,50,91,(6)1,4,7,8,12,14,15,18,20,21,25,28,31,34,37,45,48,51,58,59,61,65,66,68,70,71,73,74,75,88,90,92,93,94,95,96,98,(37)
|Total of nodes|100|Time to run|63|Num. of partitions|1|Cut weight|0|GCC Medium|0,19|LCC Medium|0,210,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,(100)
|Total of nodes|100|Time to run|62|Num. of partitions|4|Cut weight|316|GCC Medium|0,21|LCC Medium|0,131,36,42,49,55,64,75,93,95,96,(10)0,2,3,10,13,16,19,20,22,28,30,31,33,38,40,41,47,48,50,52,54,57,58,60,62,65,73,80,84,86,91,94,97,99,(34)4,5,6,7,8,11,14,15,17,18,21,23,27,29,32,34,37,43,44,45,51,53,56,59,61,63,66,67,69,70,71,74,76,78,79,81,83,85,88,89,90,92,98,(43)9,12,24,25,26,35,39,46,68,72,77,82,87,(13)
|Total of nodes|100|Time to run|64|Num. of partitions|6|Cut weight|327|GCC Medium|0,06|LCC Medium|0,050,6,13,15,17,19,21,22,27,28,29,32,33,35,36,38,40,41,43,47,53,54,55,56,59,60,62,63,66,67,69,70,71,74,76,77,78,79,81,83,85,86,88,89,90,95,98,99,(48)1,49,(2)2,14,16,25,30,37,48,58,84,96,(10)3,10,11,31,50,52,57,65,80,91,97,(11)4,5,7,8,12,18,20,23,34,39,42,44,45,46,61,64,72,73,93,94,(20)9,24,26,51,68,75,82,87,92,(9)
